author,text
EAP,"['many', 'prodigies', 'signs', 'taken', 'place', 'far', 'wide', 'sea', 'land', 'black', 'wings', 'pestilence', 'spread', 'abroad']"
EAP,"['yet', 'fairly', 'said', 'known', 'pure', 'gold', 'made', 'readily', 'lead', 'connection', 'certain', 'substances', 'kind', 'proportions', 'unknown', 'speculation', 'course', 'busy', 'immediate', 'ultimate', 'results', 'discovery', 'discovery', 'thinking', 'persons', 'hesitate', 'referring', 'increased', 'interest', 'matter', 'gold', 'generally', 'late', 'developments', 'california', 'reflection', 'brings', 'us', 'inevitably', 'another', 'exceeding', 'inopportuneness', 'von', 'kempelens', 'analysis']"
EAP,"['seemed', 'upon', 'verge', 'comprehension', 'without', 'power', 'comprehend', 'men', 'times', 'find', 'upon', 'brink', 'remembrance', 'without', 'able', 'end', 'remember']"
HPL,"['compasses', 'depth', 'gauges', 'delicate', 'instruments', 'ruined', 'henceforth', 'reckoning', 'would', 'guesswork', 'based', 'watches', 'calendar', 'apparent', 'drift', 'judged', 'objects', 'might', 'spy', 'portholes', 'conning', 'tower']"
HPL,"['young', 'warriors', 'took', 'back', 'sarnath', 'symbol', 'conquest', 'old', 'gods', 'beings', 'ib', 'sign', 'leadership', 'mnar']"
EAP,"['meantime', 'whole', 'paradise', 'arnheim', 'bursts', 'upon', 'view']"
MWS,"['rich', 'young', 'guardian', 'appointed', 'would', 'act', 'one', 'great', 'society', 'must', 'keep', 'secret', 'really', 'cut', 'ever']"
MWS,"['could', 'make', 'little', 'dim', 'light', 'seemed', 'contain', 'prophecies', 'detailed', 'relations', 'events', 'lately', 'passed', 'names', 'well', 'known', 'modern', 'date', 'often', 'exclamations', 'exultation', 'woe', 'victory', 'defeat', 'traced', 'thin', 'scant', 'pages']"
HPL,"['even', 'talked', 'tombs']"
HPL,"['sheehan', 'especially', 'ply', 'inquiries', 'yet', 'without', 'eliciting', 'information', 'value', 'concerning', 'old', 'bugs']"
HPL,"['cried', 'aloud', 'little', 'later', 'gave', 'gasp', 'terrible', 'cry']"
HPL,"['old', 'tracks', 'crossed', 'river', 'street', 'grade', 'veered', 'region', 'increasingly', 'rural', 'less', 'less', 'innsmouths', 'abhorrent', 'fishy', 'odour']"
MWS,"['soul', 'overflowed', 'ardent', 'affections', 'friendship', 'devoted', 'wondrous', 'nature', 'world', 'minded', 'teach', 'us', 'look', 'imagination']"
HPL,"['first', 'start', 'replaced', 'tissue', 'wrapping', 'around', 'portrait', 'shield', 'sordidness', 'place']"
EAP,"['present', 'peculiar', 'condition', 'affairs', 'court', 'especially', 'intrigues', 'known', 'involved', 'would', 'render', 'instant', 'availability', 'document', 'susceptibility', 'produced', 'moments', 'notice', 'point', 'nearly', 'equal', 'importance', 'possession']"
HPL,"['wilburs', 'growth', 'indeed', 'phenomenal', 'within', 'three', 'months', 'birth', 'attained', 'size', 'muscular', 'power', 'usually', 'found', 'infants', 'full', 'year', 'age']"
HPL,"['pausing', 'succeeded', 'difficulty', 'raising', 'whereupon', 'revealed', 'black', 'aperture', 'exhaling', 'noxious', 'fumes', 'caused', 'torch', 'sputter', 'disclosing', 'unsteady', 'glare', 'top', 'flight', 'stone', 'steps']"
HPL,"['mud', 'water', 'sky', 'dark', 'rain', 'wipin', 'aout', 'tracks', 'abaout', 'fast', 'could', 'beginnin', 'glen', 'maouth', 'whar', 'trees', 'moved', 'still', 'awful', 'prints', 'big', 'barls', 'like', 'seen', 'monday']"
MWS,"['visits', 'merrival', 'windsor', 'frequent', 'suddenly', 'ceased']"
EAP,"['supposed', 'however', 'great', 'underduk', 'suffered', 'impertinence', 'part', 'little', 'old', 'man', 'pass', 'impunity']"
EAP,"['need', 'tell', 'sceptical', 'hitherto', 'topic', 'souls', 'immortality']"
MWS,"['often', 'compared', 'finding', 'chief', 'superiority', 'consisted', 'power', 'soon', 'persuaded', 'power', 'inferior', 'chiefest', 'potentates', 'earth']"
HPL,"['childrens', 'children', 'newcomers', 'children', 'grew']"
HPL,"['dr', 'johnson', 'beheld', 'full', 'pursy', 'man', 'ill', 'drest', 'slovenly', 'aspect']"
EAP,"['presently', 'murmur', 'water', 'fell', 'gently', 'upon', 'ear', 'moments', 'afterward', 'turned', 'road', 'somewhat', 'abruptly', 'hitherto', 'became', 'aware', 'building', 'kind', 'lay', 'foot', 'gentle', 'declivity']"
EAP,"['ellison', 'remarkable', 'continuous', 'profusion', 'good', 'gifts', 'lavished', 'upon', 'fortune']"
EAP,"['still', 'continued', 'plane', 'elipse', 'made', 'little', 'progress', 'eastward']"
MWS,"['useless', 'provide', 'many', 'things', 'find', 'abundant', 'provision', 'every', 'town']"
MWS,"['fly', 'quickly', 'snow', 'sledges', 'motion', 'pleasant', 'opinion', 'far', 'agreeable', 'english', 'stagecoach']"
MWS,"['pointed', 'spot', 'disappeared', 'followed', 'track', 'boats', 'nets', 'cast', 'vain']"
HPL,"['indistinct', 'recollections', 'great', 'storm', 'time', 'reached', 'boat', 'rate', 'know', 'heard', 'peals', 'thunder', 'tones', 'nature', 'utters', 'wildest', 'moods']"
HPL,"['seemed', 'one', 'courtyard', 'hoped', 'would', 'chance', 'get', 'away', 'spreading', 'general', 'alarm']"
EAP,"['mein', 'gott', 'take', 'vor', 'shicken', 'oh', 'replied', 'much', 'alarmed', 'chicken', 'certainly']"
MWS,"['perpetual', 'fear', 'jaundiced', 'complexion', 'shrivelled', 'whole', 'person']"
MWS,"['sun', 'set', 'atmosphere', 'grew', 'dim', 'evening', 'star', 'longer', 'shone', 'companionless']"
MWS,"['rain', 'ceased', 'clouds', 'sunk', 'behind', 'horizon', 'evening', 'sun', 'descended', 'swiftly', 'western', 'sky']"
HPL,"['nothing', 'however', 'occurred', 'except', 'hill', 'noises', 'day', 'came', 'many', 'hoped', 'new', 'horror', 'gone', 'swiftly', 'come']"
EAP,"['state', 'rooms', 'sufficiently', 'roomy', 'two', 'berths', 'one']"
HPL,"['getting', 'dark', 'ancient', 'roofs', 'chimney', 'pots', 'outside', 'looked', 'queer', 'bulls', 'eye', 'window', 'panes']"
MWS,"['marched', 'various', 'parts', 'southern', 'counties', 'quartered', 'deserted', 'villages', 'part', 'sent', 'back', 'island', 'season', 'winter', 'far', 'revived', 'energy', 'passes', 'country', 'defended', 'increase', 'numbers', 'prohibited']"
EAP,"['suffered', 'little', 'cold', 'dampness', 'atmosphere', 'unpleasant', 'ample', 'space', 'car', 'enabled', 'us', 'lie', 'means', 'cloaks', 'blankets', 'sufficiently', 'well']"
MWS,"['dared', 'conquered', 'till', 'sold', 'death', 'sole', 'condition', 'thou', 'shouldst', 'follow', 'fire', 'war', 'plague', 'unite', 'thy', 'destruction', 'raymond', 'safety', 'thee', 'heavy', 'heart', 'listened', 'changes', 'delirium', 'made', 'bed', 'cloaks', 'violence', 'decreased', 'clammy', 'dew', 'stood', 'brow', 'paleness', 'death', 'succeeded', 'crimson', 'fever', 'placed', 'cloaks']"
HPL,"['seemed', 'interior', 'house', 'old', 'house', 'apparently', 'details', 'inhabitants', 'constantly', 'changing', 'could', 'never', 'certain', 'faces', 'furniture', 'even', 'room', 'since', 'doors', 'windows', 'seemed', 'great', 'state', 'flux', 'presumably', 'mobile', 'objects']"
EAP,"['gentleman', 'clothed', 'head', 'foot', 'richly', 'embroidered', 'black', 'silk', 'velvet', 'pall', 'wrapped', 'negligently', 'around', 'form', 'fashion', 'spanish', 'cloak']"
EAP,"['pigeons', 'appeared', 'distressed', 'extreme', 'struggled', 'escape', 'cat', 'mewed', 'piteously', 'tongue', 'hanging', 'mouth', 'staggered', 'fro', 'car', 'influence', 'poison']"
HPL,"['window', 'panes', 'gone']"
EAP,"['panted', 'gasped', 'breath', 'could', 'doubt', 'design', 'tormentors', 'oh', 'unrelenting', 'oh', 'demoniac', 'men', 'shrank', 'glowing', 'metal', 'centre', 'cell']"
EAP,"['great', 'difficulty', 'gained', 'feet', 'looking', 'dizzily', 'around', 'first', 'struck', 'idea', 'among', 'breakers', 'terrific', 'beyond', 'wildest', 'imagination', 'whirlpool', 'mountainous', 'foaming', 'ocean', 'within', 'engulfed']"
MWS,"['next', 'morning', 'delivered', 'letters', 'introduction', 'paid', 'visit', 'principal', 'professors']"
MWS,"['raymond', 'make', 'end', 'without', 'drawing', 'vivid', 'glowing', 'colours', 'splendour', 'kingdom', 'opposition', 'commercial', 'spirit', 'republicanism']"
EAP,"['celebrated', 'magazine', 'sustain', 'evidently', 'tremendous', 'expenses', 'understand']"
HPL,"['week', 'two', 'visibly', 'faded', 'course', 'months', 'hardly', 'discernible', 'naked', 'eye']"
MWS,"['stranger', 'learned', 'twenty', 'words', 'first', 'lesson', 'indeed', 'understood', 'profited', 'others']"
MWS,"['people', 'looked', 'coming', 'struggle', 'would', 'great', 'degree', 'decisive', 'case', 'victory', 'next', 'step', 'would', 'siege', 'constantinople', 'greeks']"
EAP,"['could', 'cavity', 'detected', 'sounding']"
MWS,"['lieutenant', 'instance', 'man', 'wonderful', 'courage', 'enterprise', 'madly', 'desirous', 'glory', 'rather', 'word', 'phrase', 'characteristically', 'advancement', 'profession']"
HPL,"['within', 'twenty', 'four', 'hours', 'machine', 'near', 'table', 'generate', 'waves', 'acting', 'unrecognised', 'sense', 'organs', 'exist', 'us', 'atrophied', 'rudimentary', 'vestiges']"
HPL,"['everybody', 'got', 'aout', 'idee', 'dyin', 'excep', 'canoe', 'wars', 'islanders', 'sacrifices', 'sea', 'gods', 'daown', 'snake', 'bite', 'plague', 'sharp', 'gallopin', 'ailments', 'somethin', 'afore', 'cud', 'take', 'water', 'simply', 'looked', 'forrad', 'kind', 'change', 'want', 'bit', 'horrible', 'arter']"
EAP,"['lips', 'usual', 'marble', 'pallor']"
EAP,"['absolutely', 'needless', 'replied', 'g']"
HPL,"['ahead', 'lay', 'sparse', 'grass', 'scrub', 'blueberry', 'bushes', 'beyond', 'naked', 'rock', 'crag', 'thin', 'peak', 'dreaded', 'grey', 'cottage']"
MWS,"['near', 'loved', 'feel', 'limit', 'desires']"
MWS,"['sky', 'serene', 'unable', 'rest', 'resolved', 'visit', 'spot', 'poor', 'william', 'murdered']"
EAP,"['say', 'thing', 'observed', 'tell', 'latin', 'rem']"
MWS,"['said', 'threw', 'greatly', 'shade', 'cornelius', 'agrippa', 'albertus', 'magnus', 'paracelsus', 'lords', 'imagination', 'fatality', 'overthrow', 'men', 'disinclined', 'pursue', 'accustomed', 'studies']"
MWS,"['ex', 'queen', 'gives', 'idris', 'adrian', 'totally', 'unfitted', 'succeed', 'earldom', 'earldom', 'hands', 'becomes', 'kingdom']"
EAP,"['pupils', 'upon', 'accession', 'diminution', 'light', 'underwent', 'contraction', 'dilation', 'observed', 'feline', 'tribe']"
EAP,"['keep', 'largest', 'branch', 'one', 'side', 'said', 'legrand']"
EAP,"['quivering', 'awhile', 'among', 'draperies', 'room', 'length', 'rested', 'full', 'view', 'upon', 'surface', 'door', 'brass']"
MWS,"['maternal', 'affection', 'rendered', 'idris', 'selfish', 'beginning', 'calamity', 'thoughtless', 'enthusiasm', 'devoted', 'care', 'sick', 'helpless']"
MWS,"['came', 'like', 'protecting', 'spirit', 'poor', 'girl', 'committed', 'care', 'interment', 'friend', 'conducted', 'geneva', 'placed', 'protection', 'relation']"
MWS,"['expected', 'extravagant', 'proposition', 'remained', 'silent', 'awhile', 'collecting', 'thoughts', 'might', 'better', 'combat', 'fanciful', 'scheme']"
EAP,"['matters', 'assumed', 'really', 'serious', 'aspect', 'resolved', 'call', 'upon', 'particular', 'friend', 'mr', 'theodore', 'sinivate', 'knew', 'least', 'get', 'something', 'like', 'definite', 'information']"
EAP,"['system', 'disadvantages', 'even', 'dangers']"
HPL,"['everyone', 'seemed', 'inclined', 'silent', 'though', 'holding', 'secret', 'fear']"
MWS,"['still', 'appeared', 'public', 'together', 'lived', 'roof']"
EAP,"['dear', 'fellow', 'joking', 'said', 'passable', 'skull', 'indeed', 'may', 'say', 'excellent', 'skull', 'according', 'vulgar', 'notions', 'specimens', 'physiology', 'scarabæus', 'must', 'queerest', 'scarabæus', 'world', 'resembles']"
HPL,"['vaow', 'afur', 'gawd', 'dunt', 'know', 'wants', 'hes', 'tryin', 'dew']"
MWS,"['began', 'answer', 'violence', 'yes', 'yes', 'hate', 'bane', 'poison', 'disgust', 'oh', 'manner', 'changed', 'fixing', 'eyes', 'expression', 'convulsed', 'every', 'nerve', 'member', 'frame', 'none', 'light', 'one', 'life']"
HPL,"['shivered', 'wondered', 'reach', 'light', 'would', 'looked', 'dared']"
HPL,"['slow', 'ravages', 'disease', 'pleasant', 'watch', 'case', 'something', 'subtler', 'puzzling', 'background']"
HPL,"['comte', 'associates', 'turned', 'away', 'lowly', 'abode', 'alchemists', 'form', 'charles', 'le', 'sorcier', 'appeared', 'trees']"
HPL,"['said', 'happened', 'medical', 'school', 'west', 'already', 'made', 'notorious', 'wild', 'theories', 'nature', 'death', 'possibility', 'overcoming', 'artificially']"
MWS,"['besides', 'perdita', 'retirement', 'saw', 'moodiness', 'succeeded', 'forced', 'hilarity', 'marked', 'disturbed', 'sleep', 'painful', 'irritability', 'seen', 'tears', 'scarce', 'ceased', 'flow', 'since', 'beheld', 'big', 'drops', 'disappointed', 'pride', 'caused', 'gather', 'eye', 'pride', 'unable', 'dispel']"
MWS,"['packed', 'chemical', 'instruments', 'materials', 'collected', 'resolving', 'finish', 'labours', 'obscure', 'nook', 'northern', 'highlands', 'scotland']"
EAP,"['ideas', 'friend', 'may', 'summed', 'words']"
HPL,"['definite', 'point', 'among', 'stars', 'claim', 'calling']"
EAP,"['believe', 'shall', 'forced', 'call']"
HPL,"['god', 'knows', 'world', 'ever', 'glimpsed', 'blasphemous', 'shapes', 'loped', 'trotted', 'crawled', 'whatever', 'baffling', 'source', 'images', 'one', 'thing', 'plain']"
EAP,"['yet', 'appearances', 'given', 'beg', 'pardon', 'given', 'learned', 'future', 'ages', 'ashimah', 'syrians']"
MWS,"['skin', 'embrowned', 'sun', 'step', 'firm', 'conscious', 'power']"
HPL,"['slums', 'along', 'main', 'street', 'would', 'find', 'old', 'georgian', 'churches', 'long', 'abandoned']"
EAP,"['believe', 'sir', 'forgotten', 'pay', 'brandy', 'water']"
MWS,"['started', 'forward', 'exclaimed', 'villain', 'sign', 'death', 'warrant', 'sure', 'safe']"
HPL,"['eyes', 'stayed', 'whole', 'glared', 'propulsive', 'dilated', 'incandescence', 'grew', 'face', 'around', 'charred', 'dwindled']"
MWS,"['determined', 'extract', 'condense', 'glory', 'power', 'achievement', 'might', 'resulted', 'long', 'reign', 'three', 'years', 'protectorate']"
EAP,"['advertisement', 'picking', 'boat']"
HPL,"['baffled', 'excavators', 'sought', 'conference', 'superintendent', 'ordered', 'great', 'lengths', 'rope', 'taken', 'pit', 'spliced', 'lowered', 'without', 'cessation', 'till', 'bottom', 'might', 'discovered']"
MWS,"['received', 'orders', 'taken', 'brought', 'earl', 'lenity', 'made', 'expect', 'conclusion', 'considered', 'ill', 'befitting', 'crime']"
HPL,"['lean', 'nith', 'remarked', 'one', 'seen', 'old', 'man', 'wife', 'since', 'night', 'cats', 'away']"
MWS,"['six', 'years', 'elapsed', 'passed', 'dream', 'one', 'indelible', 'trace', 'stood', 'place', 'last', 'embraced', 'father', 'departure', 'ingolstadt']"
EAP,"['kidds', 'accumulations', 'immense', 'well', 'known']"
HPL,"['looked', 'beheld', 'head', 'rise', 'black', 'liquid', 'deep', 'sunken', 'eyes', 'open', 'terror', 'thin', 'shadowed', 'lips', 'part', 'scream', 'frightful', 'uttered']"
EAP,"['high', 'summits', 'one', 'one', 'drop', 'everlasting', 'dews']"
MWS,"['spent', 'many', 'hours', 'tears', 'mournful', 'meditation', 'past', 'twelve', 'oclock', 'peace', 'house', 'gentle', 'air', 'stole', 'window', 'rustle', 'leaves', 'twining', 'plants', 'shadowed']"
HPL,"['traditionally', 'receptive', 'ears', 'small', 'boy', 'learned', 'much', 'though', 'habitual', 'secretiveness', 'caused', 'tell', 'one', 'information', 'resolve']"
HPL,"['understand', 'words', 'know', 'certain', 'things', 'made', 'feel', 'certain', 'emotions', 'fancied', 'unremembered', 'dream', 'must', 'responsible']"
MWS,"['look', 'weep', 'two', 'years', 'never', 'enjoyed', 'one', 'moment', 'free', 'anguish']"
EAP,"['indeed', 'demonstrable', 'every', 'impulse', 'given', 'air', 'must', 'end', 'impress', 'every', 'individual', 'thing', 'exists', 'within', 'universe', 'infinite', 'understanding', 'imagined', 'might', 'trace', 'remote', 'undulations', 'impulse', 'trace', 'upward', 'onward', 'influences', 'upon', 'particles', 'matter', 'upward', 'onward', 'ever', 'modifications', 'old', 'forms', 'words', 'creation', 'new', 'found', 'reflected', 'unimpressive', 'last', 'back', 'throne', 'godhead']"
MWS,"['justine', 'called', 'defence']"
HPL,"['engagement', 'broken', 'galpin', 'moved', 'east', 'begin', 'life', 'anew', 'long', 'appletonians', 'heard', 'dismissal', 'disgrace', 'new', 'york', 'university', 'obtained', 'instructorship', 'english']"
HPL,"['narrow', 'head', 'bulging', 'watery', 'blue', 'eyes', 'seemed', 'never', 'wink', 'flat', 'nose', 'receding', 'forehead', 'chin', 'singularly', 'undeveloped', 'ears']"
EAP,"['remembered', 'earliest', 'stage', 'speculations', 'upon', 'possibility', 'passage', 'moon', 'existence', 'vicinity', 'atmosphere', 'dense', 'proportion', 'bulk', 'planet', 'entered', 'largely', 'calculations', 'spite', 'many', 'theories', 'contrary', 'may', 'added', 'spite', 'general', 'disbelief', 'existence', 'lunar', 'atmosphere']"
MWS,"['words', 'flowed', 'spontaneously', 'utterance', 'firm', 'quick']"
HPL,"['rare', 'affliction', 'course', 'could', 'bring', 'vast', 'radical', 'anatomical', 'changes', 'single', 'individual', 'maturity', 'changes', 'involving', 'osseous', 'factors', 'basic', 'shape', 'skull', 'even', 'aspect', 'baffling', 'unheard', 'visible', 'features', 'malady', 'whole']"
HPL,"['fled', 'accursed', 'castle', 'along', 'bogs', 'edge', 'heard', 'new', 'sound', 'common', 'yet', 'unlike', 'heard', 'kilderry']"
HPL,"['try', 'navigate', 'first', 'bold', 'flight', 'reaction', 'taken', 'something', 'soul']"
EAP,"['bear', 'attempting', 'swim', 'lofoden', 'moskoe', 'caught', 'stream', 'borne', 'roared', 'terribly', 'heard', 'shore']"
MWS,"['obeyed', 'injunctions', 'passed', 'year', 'exile', 'cumberland']"
MWS,"['reverted', 'past', 'life', 'successes', 'greece', 'favour', 'home']"
EAP,"['murderers', 'casting', 'would', 'failed', 'attach', 'weight']"
HPL,"['short', 'inevitable', 'sleep', 'seemed', 'older', 'whilst', 'friend', 'aged', 'rapidity', 'almost', 'shocking']"
MWS,"['look', 'hands', 'executed', 'deed', 'think', 'heart', 'imagination', 'conceived', 'long', 'moment', 'hands', 'meet', 'eyes', 'imagination', 'haunt', 'thoughts']"
MWS,"['horrible', 'sights', 'shaped', 'turbid', 'cloud', 'hovered', 'city', 'relief', 'derived', 'struggles', 'made', 'approach', 'gate']"
HPL,"['order', 'reach', 'said', 'would', 'soar', 'abysses', 'emptiness', 'burning', 'every', 'obstacle', 'stood', 'way']"
EAP,"['pierre', 'moreau', 'tobacconist', 'deposes', 'habit', 'selling', 'small', 'quantities', 'tobacco', 'snuff', 'madame', 'lespanaye', 'nearly', 'four', 'years']"
EAP,"['still', 'quickened', 'pace']"
MWS,"['resolved', 'fly', 'far', 'scene', 'misfortunes', 'hated', 'despised', 'every', 'country', 'must', 'equally', 'horrible']"
EAP,"['spirit', 'wisdom', 'among', 'ancient', 'hebrews', 'believed', 'gates', 'heaven', 'would', 'inevitably', 'opened', 'sinner', 'saint', 'good', 'lungs', 'implicit', 'confidence', 'vociferate', 'word', 'amen', 'spirit', 'wisdom', 'great', 'plague', 'raged', 'athens', 'every', 'means', 'vain', 'attempted', 'removal', 'epimenides', 'laertius', 'relates', 'second', 'book', 'philosopher', 'advised', 'erection', 'shrine', 'temple', 'proper', 'god', 'lyttleton', 'barry']"
EAP,"['feel', 'confident', 'never', 'would', 'dreamed', 'taking', 'residence', 'alexander', 'great', 'nopolis', 'aware', 'alexander', 'great', 'nopolis', 'lived', 'gentleman', 'named', 'john', 'smith', 'rightly', 'remember', 'many', 'years', 'quietly', 'grown', 'fat', 'editing', 'publishing', 'alexander', 'great', 'nopolis', 'gazette']"
MWS,"['protect', 'first', 'latter', 'commit', 'charge']"
MWS,"['miserable', 'may', 'render', 'wretched', 'ought', 'die']"
HPL,"['police', 'heard', 'shot', 'old', 'tillinghast', 'house', 'found', 'us', 'tillinghast', 'dead', 'unconscious']"
MWS,"['even', 'possible', 'train', 'ideas', 'would', 'never', 'received', 'fatal', 'impulse', 'led', 'ruin']"
HPL,"['entered', 'army', 'initiative', 'rather', 'natural', 'result', 'enlistment', 'man', 'whose', 'indispensable', 'assistant', 'celebrated', 'boston', 'surgical', 'specialist', 'dr', 'herbert', 'west']"
HPL,"['last', 'link', 'chapter', 'life', 'forever', 'closed', 'valued', 'highly']"
EAP,"['longer', 'meditated', 'upon', 'intense', 'grew', 'interest', 'excited', 'within']"
MWS,"['often', 'repined', 'trust', 'singleness', 'affection', 'undisturbed', 'together', 'unchecked', 'fear', 'opened', 'heart', 'fullest', 'delight']"
HPL,"['nothing', 'grotesque', 'bones', 'skeletons', 'strowed', 'stone', 'crypts', 'deep', 'among', 'foundations']"
MWS,"['full', 'thought', 'remained', 'silent', 'considerable', 'part', 'ride', 'length', 'said', 'must', 'apologize', 'abstraction', 'truth', 'rylands', 'motion', 'comes', 'night', 'considering', 'reply']"
HPL,"['thing', 'can', 'not', 'described', 'language', 'abysms', 'shrieking', 'immemorial', 'lunacy', 'eldritch', 'contradictions', 'matter', 'force', 'cosmic', 'order']"
EAP,"['add', 'dilemma', 'found', 'pumps', 'choked', 'nearly', 'useless']"
EAP,"['means', 'ignorant', 'men', 'found', 'little', 'difficulty', 'gaining', 'purpose']"
HPL,"['queer', 'damnably', 'queer', 'uncle', 'spoke', 'almost', 'sheepishly', 'half', 'expecting', 'believed', 'declared', 'strange', 'faces', 'many', 'unmistakably', 'borne', 'features', 'harris', 'family']"
EAP,"['three', 'months', 'night', 'passed', 'greater', 'part', 'engaged', 'personally', 'ransacking', 'hotel']"
MWS,"['raymond', 'wonder', 'thus', 'situated', 'artist', 'shrunk', 'notice', 'alter', 'resolve']"
HPL,"['long', 'magic', 'farther', 'hills', 'sigh', 'secrets', 'peer', 'like', 'green', 'reefs', 'bottomless', 'sea']"
MWS,"['endured', 'punishment', 'pain', 'defence', 'spirit', 'hero', 'claimed', 'reward', 'praise', 'obedience']"
MWS,"['must', 'collect', 'thoughts']"
EAP,"['never', 'imposing', 'upon', 'one', 'suffered', 'one', 'play', 'possum']"
MWS,"['said', 'though', 'confess', 'thoughts', 'occupied', 'pleasantly']"
